縣市,模型,預測年份,預測人口
基隆市,LinearRegression,2024,362304
基隆市,RandomForest,2024,362886
新北市,LinearRegression,2024,4041089
新北市,RandomForest,2024,4015409
臺北市,LinearRegression,2024,2510451
臺北市,RandomForest,2024,2522795
桃園市,LinearRegression,2024,2312014
桃園市,RandomForest,2024,2259818
新竹市,LinearRegression,2024,456564
新竹市,RandomForest,2024,451170
新竹縣,LinearRegression,2024,589335
新竹縣,RandomForest,2024,577661
苗栗縣,LinearRegression,2024,533812
苗栗縣,RandomForest,2024,536552
臺中市,LinearRegression,2024,2845966
臺中市,RandomForest,2024,2809720
南投縣,LinearRegression,2024,476883
南投縣,RandomForest,2024,482956
彰化縣,LinearRegression,2024,1238585
彰化縣,RandomForest,2024,1251948
雲林縣,LinearRegression,2024,659756
雲林縣,RandomForest,2024,668902
嘉義縣,LinearRegression,2024,484542
嘉義縣,RandomForest,2024,491369
嘉義市,LinearRegression,2024,263604
嘉義市,RandomForest,2024,263602
臺南市,LinearRegression,2024,1860201
臺南市,RandomForest,2024,1858249
高雄市,LinearRegression,2024,2737424
高雄市,RandomForest,2024,2738263
屏東縣,LinearRegression,2024,795107
屏東縣,RandomForest,2024,807089
宜蘭縣,LinearRegression,2024,449884
宜蘭縣,RandomForest,2024,449847
花蓮縣,LinearRegression,2024,317456
花蓮縣,RandomForest,2024,321250
臺東縣,LinearRegression,2024,211480
臺東縣,RandomForest,2024,215107
澎湖縣,LinearRegression,2024,107737
澎湖縣,RandomForest,2024,106711
金門縣,LinearRegression,2024,144960
金門縣,RandomForest,2024,140606
連江縣,LinearRegression,2024,14000
連江縣,RandomForest,2024,13607
